ΕΞΣ/66051/Α4;Καμπύλες σωλήνος 110 μοίρες;εξαρτηματα-σωληνων-22.jpg; Για διάμετρο σωλήνα;22mm;;;;;;;;;;;;;;;
ΑΝΤ/292/24;Αντλίες παλινδρομικές;αντλιες-σκαφων-90.jpg;Dc;24v;Παροχή;18 λίτρα/λεπτό;Έξοδος;19mm;;;;;;;;;;;
ΑΝΤ/SEAFLO/12;Αντλίες πρεσσοστατικες;αντλιες-σκαφων-66.jpg;Dc;12v;Παροχή;12.5 λίτρα/λεπτό;Πίεση;2 bar;Έξοδος;1/2;;;;;;;;;
ΑΝΤ/40/12;Αντλίες πρεσσοστατικες;αντλιες-σκαφων-70.jpg;Dc;12v;Παροχή;17.5 λίτρα/λεπτό;Πίεση;2 bar;Έξοδος;1/2;;;;;;;;;
ΑΝΤ/9121/12;Αντλίες πρεσσοστατικες;αντλιες-σκαφων-68.jpg;Dc;12v;Παροχή;2.5 λίτρα/λεπτό;Έξοδος;5/16';;;;;;;;;;;
ΑΝΤ/40/24;Αντλίες πρεσσοστατικες;αντλιες-σκαφων-70.jpg;Dc;24v;Παροχή;17.5 λίτρα/λεπτό;Πίεση;2 bar;Έξοδος;1/2;;;;;;;;;
ΑΝΤ/66015;Αντλίες πρεσσοστατικες;αντλιες-σκαφων-63.jpeg;Dc;12/24v;Παροχή;10 λίτρα/λεπτό;Πίεση;2 bar;Έξοδος;3/8;;;;;;;;;
ΑΝΤ/62012;Αντλίες πρεσσοστατικες;αντλιεςσ-σκαφων-72.jpg;Dc;12v;Παροχή;26 λίτρα/λεπτό;Πίεση;2 bar;Έξοδος;1/2';;;;;;;;;
ΑΝΤ/62013;Αντλίες πρεσσοστατικες;αντλιεςσ-σκαφων-72.jpg;Dc;24v;Παροχή;26 λίτρα/λεπτό;Πίεση;2 bar;Έξοδος;1/2';;;;;;;;;
ΒΑΡ/ΕΡΓ/12;Βαρελάκι εργάτη T-max;βαρελακι-εργατη.jpg;Dc;12 ή 24 v;;;;;;;;;;;;;;;
ΓΩΝ/SGSC-01/12;Γωνιοδείκτες πηδαλίου ;γωνιοδεικτης-πηδαλιου.jpg;Dc;12 v;;;;;;;;;;;;;;;
