postid;code1;code2;title;image;a1;v1;a2;v2;a3;v3;a4;v4;a5;v5;a6;v6
8607;ΚΟΥΠ/1749;ΚΟΥΠ/1749;Κουπιά αλουμινίου σπαστά 1.60 μέτρα;κουπια-σκαφων-1-1.jpg;Μήκος;1.60 μέτρα;;;;;;;;;;
8609;ΚΟΥΠ/1750;ΚΟΥΠ/1750;Κουπιά αλουμινίου σπαστά 1.80 μέτρα;κουπια-σκαφων-1-1.jpg;Μήκος;1.80 μέτρα;;;;;;;;;;
8610;ΚΟΥΠ/1751;ΚΟΥΠ/1751;Κουπιά αλουμινίου σπαστά 2 μέτρα;κουπια-σκαφων-1-1.jpg;Μήκος;2 μέτρα;;;;;;;;;;
8611;ΚΟΥ/1.80;ΚΟΥ/1.80;Κουπιά οξιάς ξύλινα;κουπια-σκαφων-2.jpg;Μήκος;1.8;;;;;;;;;;
8613;ΚΟΥΠ/730180;ΚΟΥΠ/730180;Κουπί σταθερό με γάντζο 1.80 μέτρα;κουπια-σκαφων-3.jpg;Μήκος;1.80 μέτρα;;;;;;;;;;
8615;ΚΟΥΠ/50127;ΚΟΥΠ/50127;Κουπιά κανώ σπαστά  2 μέτρα;κουπια-σκαφων-4.jpg;Μήκος;2 μέτρα;;;;;;;;;;
8618;ΓΑΝ/1060804;ΓΑΝ/1060804;Γάντζος προστασίας σταθερός;γαντζοι-σκαφων-2.png;Μήκος;2 μέτρα;;;;;;;;;;
8620;ΓΑΝ/1060807;ΓΑΝ/1060807;Γάντζος προστασίας τηλεσκοπικός 2 μέτρα;γαντζοι-σκαφων-1.jpg;Μήκος;1.6-2.1 μέτρα;;;;;;;;;;
8622;ΓΑΝ/1060805;ΓΑΝ/1060805;Γάντζος προστασίας τηλεσκοπικός 1 μέτρο;γαντζοι-σκαφων-3.jpg;Μήκος;0.6-1 μέτρο;;;;;;;;;;
8624;ΓΑΝ/1060815;ΓΑΝ/1060815;Γάντζος προστασίας τηλεσκοπικός με κουπί;γαντζοι-σκαφων-4.jpg;Μήκος;1.2-1.65 μέτρο;;;;;;;;;;
