Α344/1/2;ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344;ΔΙΑΜΕΤΡΟΣ;12mm;ΦΟΡΤ. ΑΣΦ. (kgs);2200;;
Α344/1/3/4;ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344;ΔΙΑΜΕΤΡΟΣ;45mm;ΦΟΡΤ. ΑΣΦ. (kgs);31500;;
Α344/11/16;ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344;ΔΙΑΜΕΤΡΟΣ;17mm;ΦΟΡΤ. ΑΣΦ. (kgs);3200;;
Α344/2;ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344;ΔΙΑΜΕΤΡΟΣ;50mm;ΦΟΡΤ. ΑΣΦ. (kgs);45000;;
Α344/3/4;ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344;ΔΙΑΜΕΤΡΟΣ;20mm;ΦΟΡΤ. ΑΣΦ. (kgs);5300;;
Α344/7/8;ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344;ΔΙΑΜΕΤΡΟΣ;22mm;ΦΟΡΤ. ΑΣΦ. (kgs);6500;;
Α347/1/1/2;ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347;ΔΙΑΜΕΤΡΟΣ;38mm;ΦΟΡΤ. ΑΣΦ. (kgs);23600;;
Α347/1/1/4;ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347;ΔΙΑΜΕΤΡΟΣ;32mm;ΦΟΡΤ. ΑΣΦ. (kgs);13000;;
Α347/1/1/8;ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347;ΔΙΑΜΕΤΡΟΣ;29mm;ΦΟΡΤ. ΑΣΦ. (kgs);9600;;
Α347/1/3/4;ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347;ΔΙΑΜΕΤΡΟΣ;50mm;ΦΟΡΤ. ΑΣΦ. (kgs);31500;;
Α347/11/16;ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347;ΔΙΑΜΕΤΡΟΣ;17mm;ΦΟΡΤ. ΑΣΦ. (kgs);300;;
Α347/3/4;ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347;ΔΙΑΜΕΤΡΟΣ;20mm;ΦΟΡΤ. ΑΣΦ. (kgs);4500;;
Α347/7/8;ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347;ΔΙΑΜΕΤΡΟΣ;22mm;ΦΟΡΤ. ΑΣΦ. (kgs);6500;;
Α347/1;ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347;ΔΙΑΜΕΤΡΟΣ;25mm;ΦΟΡΤ. ΑΣΦ. (kgs);8500;;
Α643/1;ΚΟΥΛΟΥΡΙΑ ΦΟΡΤΙΟΥ ΣΤΡΟΓΓΥΛΑ;ΔΙΑΜΕΤΡΟΣ;25mm;ΦΟΡΤ. ΑΣΦ. (kgs);8500;;
Α643/1/1/4;ΚΟΥΛΟΥΡΙΑ ΦΟΡΤΙΟΥ ΣΤΡΟΓΓΥΛΑ;ΔΙΑΜΕΤΡΟΣ;32mm;ΦΟΡΤ. ΑΣΦ. (kgs);13000;;
Α643/1/1/8;ΚΟΥΛΟΥΡΙΑ ΦΟΡΤΙΟΥ ΣΤΡΟΓΓΥΛΑ;ΔΙΑΜΕΤΡΟΣ;29mm;ΦΟΡΤ. ΑΣΦ. (kgs);9500;;
Α643/1/3/8;ΚΟΥΛΟΥΡΙΑ ΦΟΡΤΙΟΥ ΣΤΡΟΓΓΥΛΑ;ΔΙΑΜΕΤΡΟΣ;35mm;ΦΟΡΤ. ΑΣΦ. (kgs);14500;;
S311/1/2;ΓΑΝΤΖΟΙ ΡΥΘΜΙΣΕΩΣ ΑΛΥΣΙΔΑΣ S311;ΔΙΑΜΕΤΡΟΣ;12mm;ΦΟΡΤ. ΑΣΦ. (kgs);5200;;
S311/3/8;ΓΑΝΤΖΟΙ ΡΥΘΜΙΣΕΩΣ ΑΛΥΣΙΔΑΣ S311;ΔΙΑΜΕΤΡΟΣ;10mm;ΦΟΡΤ. ΑΣΦ. (kgs);3200;;
S311/5/16;ΓΑΝΤΖΟΙ ΡΥΘΜΙΣΕΩΣ ΑΛΥΣΙΔΑΣ S311;ΔΙΑΜΕΤΡΟΣ;8mm;ΦΟΡΤ. ΑΣΦ. (kgs);2000;;
S311/5/8;ΓΑΝΤΖΟΙ ΡΥΘΜΙΣΕΩΣ ΑΛΥΣΙΔΑΣ S311;ΔΙΑΜΕΤΡΟΣ;16mm;ΦΟΡΤ. ΑΣΦ. (kgs);7500;;
S314/1/2;ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ S314;ΔΙΑΜΕΤΡΟΣ;12mm;ΦΟΡΤ. ΑΣΦ. (kgs);5200;;
S314/1/4;ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ S314;ΔΙΑΜΕΤΡΟΣ;6mm;ΦΟΡΤ. ΑΣΦ. (kgs);1000;;
S314/3/8;ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ S314;ΔΙΑΜΕΤΡΟΣ;10mm;ΦΟΡΤ. ΑΣΦ. (kgs);3200;;
S314/5/16;ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ S314;ΔΙΑΜΕΤΡΟΣ;8mm;ΦΟΡΤ. ΑΣΦ. (kgs);2000;;
S314/5/8;ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ S314;ΔΙΑΜΕΤΡΟΣ;16mm;ΦΟΡΤ. ΑΣΦ. (kgs);7500;;
S315/1/2;ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΠΙΡΟ;ΔΙΑΜΕΤΡΟΣ;12mm;ΦΟΡΤ. ΑΣΦ. (kgs);5200;;
S315/3/8;ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΠΙΡΟ;ΔΙΑΜΕΤΡΟΣ;10mm;ΦΟΡΤ. ΑΣΦ. (kgs);3200;;
S315/5/16;ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΠΙΡΟ;ΔΙΑΜΕΤΡΟΣ;8mm;ΦΟΡΤ. ΑΣΦ. (kgs);2000;;
S315/5/8;ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΠΙΡΟ;ΔΙΑΜΕΤΡΟΣ;16mm;ΦΟΡΤ. ΑΣΦ. (kgs);7500;;
S316/1/2;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΜΑΤΙ;;ΔΙΑΜΕΤΡΟΣ;12mm;ΦΟΡΤ. ΑΣΦ. (kgs);5200;
S316/3/8;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΜΑΤΙ;ΔΙΑΜΕΤΡΟΣ;10mm;ΦΟΡΤ. ΑΣΦ. (kgs);3200;;
S316/5/16;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΜΑΤΙ;ΔΙΑΜΕΤΡΟΣ;8mm;ΦΟΡΤ. ΑΣΦ. (kgs);2000;;
S317/1/2;ΓΑΝΤΖΟΙ ΣΥΡΜΑΤΟΣΧΟΙΝΟΥ ΣΥΡΟΜΕΝΟΙ;ΔΙΑΜΕΤΡΟΣ;12mm;ΦΟΡΤ. ΑΣΦ. (kgs);5200;;
S317/3/8;ΓΑΝΤΖΟΙ ΣΥΡΜΑΤΟΣΧΟΙΝΟΥ ΣΥΡΟΜΕΝΟΙ;ΔΙΑΜΕΤΡΟΣ;10mm;ΦΟΡΤ. ΑΣΦ. (kgs);3200;;
S317/5/8;ΓΑΝΤΖΟΙ ΣΥΡΜΑΤΟΣΧΟΙΝΟΥ ΣΥΡΟΜΕΝΟΙ;ΔΙΑΜΕΤΡΟΣ;16mm;ΦΟΡΤ. ΑΣΦ. (kgs);7500;;
S325/1/2;ΚΛΕΙΔΙΑ ΩΜΕΓΑ S325;ΔΙΑΜΕΤΡΟΣ;12mm;ΦΟΡΤ. ΑΣΦ. (kgs);5200;;
S325/3/8;ΚΛΕΙΔΙΑ ΩΜΕΓΑ S325;ΔΙΑΜΕΤΡΟΣ;10mm;ΦΟΡΤ. ΑΣΦ. (kgs);3200;;
S325/5/16;ΚΛΕΙΔΙΑ ΩΜΕΓΑ S325;ΔΙΑΜΕΤΡΟΣ;8mm;ΦΟΡΤ. ΑΣΦ. (kgs);2000;;
S325/5/8;ΚΛΕΙΔΙΑ ΩΜΕΓΑ S325;ΔΙΑΜΕΤΡΟΣ;16mm;ΦΟΡΤ. ΑΣΦ. (kgs);7500;;
